Date,Start Time,End Time,Field (Alias),Field,Venue,Event Type,Identifier,Organization,Secondary Organization,Schedule,Category,Home Team,Away Team,Practice Teams,Practice Type,Timeslot Type,Timeslot Sub Type,Timeslot Shared Leagues,Timeslot Category Restrictions,Comments,Notes
2025-06-21,11:00,13:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-21,13:00,15:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-21,15:00,17:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-21,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-06-22,10:00,12:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-22,12:00,14:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-22,14:00,16:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-22,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-06-23,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-23,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-24,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-24,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-25,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
