Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-08-15,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-16,08:30,10:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-16,10:30,12:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-16,12:30,14:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-16,14:30,16:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-16,16:30,18:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-16,18:30,20:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-17,08:30,10:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-17,10:30,12:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
2025-08-17,12:30,14:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Séries 9U A,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,Match,Séries Éliminatoires,LIGUE DE BASEBALL DE L'OUTAOUAIS,9U A Masculin,,
